Player,Tm,MP,PTS,AST,TRB,STL,BLK,TOV,FG%,3P%,FT%,GmSc,Games,PTS_per_min,AST_per_min,TRB_per_min
Jordan Hawkins,NOP,23.206,10.909,0.97,2.485,0.667,0.394,0.909,0.332,0.307,0.456,6.452,33,0.47,0.042,0.107
Jordan McLaughlin,SAC,6.779,1.893,0.857,0.75,0.393,0.0,0.393,0.192,0.214,0.143,1.646,28,0.279,0.126,0.111
Jordan Miller,LAC,12.761,4.897,1.069,1.793,0.517,0.172,0.759,0.311,0.116,0.313,3.683,29,0.384,0.084,0.141
Jordan Poole,WAS,31.164,20.841,4.864,3.091,1.455,0.5,3.341,0.4,0.369,0.751,13.725,44,0.669,0.156,0.099
Jordan Walsh,BOS,7.895,1.6,0.314,1.143,0.257,0.229,0.257,0.219,0.171,0.064,1.317,35,0.203,0.04,0.145
Jose Alvarado,NOP,22.187,9.63,4.111,1.963,1.259,0.296,1.148,0.37,0.368,0.296,8.404,27,0.434,0.185,0.088
Josh Giddey,CHI,28.795,12.104,6.562,7.25,1.104,0.5,2.75,0.451,0.362,0.496,12.021,48,0.42,0.228,0.252
Josh Green,CHO,28.621,7.489,1.467,2.844,1.067,0.244,0.889,0.419,0.357,0.339,5.718,45,0.262,0.051,0.099
Josh Hart,NYK,37.574,14.3,5.78,9.66,1.54,0.36,1.9,0.565,0.333,0.617,16.086,50,0.381,0.154,0.257
Josh Minott,MIN,6.953,2.581,0.419,1.065,0.387,0.323,0.226,0.364,0.14,0.134,2.174,31,0.371,0.06,0.153
Josh Okogie,PHO,15.598,6.875,0.75,3.0,1.25,0.469,0.781,0.451,0.283,0.285,6.281,32,0.441,0.048,0.192
Jrue Holiday,BOS,30.238,10.977,3.682,4.409,0.977,0.432,1.341,0.436,0.318,0.42,9.784,44,0.363,0.122,0.146
Julian Champagnie,SAS,25.209,10.286,1.245,4.143,0.816,0.449,1.02,0.411,0.351,0.307,7.686,49,0.408,0.049,0.164
Julian Phillips,CHI,12.984,4.26,0.4,2.0,0.4,0.24,0.4,0.429,0.258,0.305,3.244,50,0.328,0.031,0.154
Julian Strawther,DEN,21.992,9.25,1.346,2.135,0.673,0.269,0.846,0.423,0.337,0.46,5.887,52,0.421,0.061,0.097
Julius Randle,MIN,32.574,18.854,4.458,7.167,0.729,0.229,2.833,0.462,0.289,0.764,14.442,48,0.579,0.137,0.22
Justin Champagnie,WAS,18.765,7.781,0.938,4.5,0.969,0.625,0.781,0.397,0.312,0.261,7.169,32,0.415,0.05,0.24
Justin Edwards,PHI,23.876,8.091,1.409,3.091,0.773,0.318,0.864,0.43,0.315,0.155,6.259,22,0.339,0.059,0.129
